ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
2450,2012-03-29,2012-03-30,70.1339,64.7587,178.2305,-958.03,-1.0,1,STOP,UPTREND
9941,2012-08-01,2012-08-01,20.8248,20.3991,594.4964,-253.03,-1.0,0,STOP,CHOPPY
2886,2012-08-01,2012-08-28,11.3765,11.0605,1088.2282,-343.9,-1.0,27,STOP,CHOPPY
6199,2013-01-15,2013-01-16,36.6774,35.6364,335.5094,-349.29,-0.5,1,STOP,UPTREND
3564,2013-03-07,2013-03-08,20.4975,20.2144,598.2164,-169.36,-0.5,1,STOP,UPTREND
2408,2013-03-08,2013-03-13,22.9343,22.1882,534.6562,-398.93,-0.5,5,STOP,UPTREND
9906,2013-03-29,2013-04-26,13.3879,15.3256,910.5943,1764.48,2.214,28,MA10_BREAK,UPTREND
1456,2013-05-08,2013-05-10,15.0071,14.8089,827.0403,-163.93,-0.5,2,STOP,UPTREND
2424,2013-08-09,2013-08-26,54.5,51.9612,227.3578,-577.22,-1.0,17,STOP,CHOPPY
4907,2013-08-15,2013-09-06,12.6483,12.9889,488.5167,166.36,0.636,22,MA5_BREAK_HALF,CHOPPY
4907,2013-08-15,2013-09-16,12.6483,13.0862,488.5167,213.89,0.818,32,MA10_BREAK,CHOPPY
3437,2013-09-11,2013-09-27,44.9231,48.7781,137.6725,530.73,1.63,16,MA5_BREAK_HALF,UPTREND
3437,2013-09-11,2013-10-07,44.9231,48.6208,137.6725,509.07,1.564,26,MA10_BREAK,UPTREND
3684,2013-10-08,2013-10-08,11.5418,11.5418,541.351,0.0,0.0,0,MA5_BREAK_HALF,UPTREND
3684,2013-10-08,2013-10-23,11.5418,12.5098,541.351,524.04,5.293,15,MA10_BREAK,UPTREND
1472,2013-11-01,2013-11-05,109.2812,103.0848,114.9499,-712.27,-1.0,4,STOP,UPTREND
3466,2013-11-04,2013-11-05,24.3497,23.8056,516.9264,-281.27,-1.0,1,STOP,UPTREND
3466,2013-11-06,2013-11-07,23.3208,23.5781,266.6642,68.59,0.494,1,MA5_BREAK_HALF,UPTREND
3466,2013-11-06,2013-11-08,23.3208,23.7924,266.6642,125.75,0.905,2,MA10_BREAK,UPTREND
3466,2013-11-11,2013-11-12,24.0067,23.4703,519.1024,-278.48,-1.0,1,STOP,CHOPPY
2614,2013-12-06,2013-12-06,23.1313,23.0134,536.6687,-63.24,-0.5,0,STOP,UPTREND
8933,2013-12-05,2013-12-11,20.7439,19.626,599.0742,-669.73,-1.0,6,STOP,UPTREND
1519,2013-12-23,2014-01-24,11.0848,10.6363,1112.8339,-499.12,-1.0,32,STOP,UPTREND
5205,2014-03-10,2014-03-18,67.875,76.875,90.4098,813.69,3.42,8,MA5_BREAK_HALF,UPTREND
5205,2014-03-10,2014-03-20,67.875,73.75,90.4098,531.16,2.232,10,MA10_BREAK,UPTREND
8084,2014-04-07,2014-04-10,26.8627,25.5836,463.1411,-592.44,-1.0,3,STOP,UPTREND
3097,2014-05-06,2014-05-16,11.4536,12.0934,539.8802,345.39,1.536,10,MA5_BREAK_HALF,UPTREND
3097,2014-05-06,2014-05-21,11.4536,12.0934,539.8802,345.39,1.536,15,MA10_BREAK,UPTREND
5205,2014-05-28,2014-06-04,67.75,64.4928,183.816,-598.73,-1.0,7,STOP,UPTREND
5603,2014-08-06,2014-08-07,6.8921,6.6867,1796.0584,-369.01,-1.0,1,STOP,CHOPPY
5603,2014-08-12,2014-08-22,6.7822,8.0836,909.1912,1183.26,6.437,10,MA5_BREAK_HALF,CHOPPY
2312,2014-09-01,2014-09-04,11.6792,11.7964,545.0933,63.88,0.224,3,MA5_BREAK_HALF,UPTREND
5603,2014-08-12,2014-09-05,6.7822,8.8818,909.1912,1908.95,10.385,24,MA10_BREAK,CHOPPY
2312,2014-09-01,2014-09-16,11.6792,11.8355,545.0933,85.17,0.298,15,MA10_BREAK,UPTREND
5222,2014-11-11,2014-11-11,13.3479,12.9882,954.2902,-343.23,-1.0,0,STOP,UPTREND
5222,2014-11-12,2014-11-19,13.3479,12.9882,951.0759,-342.08,-1.0,7,STOP,UPTREND
9910,2015-01-07,2015-01-08,40.1868,39.4306,314.8315,-238.08,-0.5,1,STOP,CHOPPY
2491,2015-01-27,2015-01-28,14.24,13.5672,898.4714,-604.45,-1.0,1,STOP,UPTREND
4905,2015-01-14,2015-01-29,30.1845,32.8876,209.0858,565.18,4.247,15,MA5_BREAK_HALF,CHOPPY
